POSTED DATE,TRANSACTION DATE,TRANSACTION TIME,TRANSACTION NUMBER,TRANSPONDER/LICENSE PLATE,AGENCY NAME,LANE,AXLE,DESCRPTION / PLAZA NAME,AMOUNT
11/06/2020,10/16/2020,07:11:46 PM,32311763266,2852187-IN,Miami-Dade Expressway Authority,22S,5,SR836 EAST (AT 137TH AVE),($0.56)
11/06/2020,10/16/2020,04:58:29 PM,32311758443,2852189-IN,Miami-Dade Expressway Authority,63S,5,SR 924 WEST (42ND AVE),($0.94)
11/06/2020,10/16/2020,07:15:20 PM,32311755698,2852187-IN,Miami-Dade Expressway Authority,44S,5,SR836 EAST (AT 97TH AVE),($1.32)
11/06/2020,10/16/2020,05:26:00 PM,32311761609,2852183-IN,Miami-Dade Expressway Authority,23S,3,SR 924 EAST (57TH AVE),($0.94)
11/06/2020,10/16/2020,06:03:19 PM,32311755481,2852183-IN,Miami-Dade Expressway Authority,81S,5,SR 924 WEST (57TH AVE),($0.94)
11/06/2020,10/16/2020,06:01:28 PM,32311755448,2852183-IN,Miami-Dade Expressway Authority,61S,5,SR 924 WEST (42ND AVE),($0.94)
11/06/2020,10/16/2020,07:49:46 PM,32311755759,2852174-IN,Miami-Dade Expressway Authority,82S,5,SR836 WEST (AT 137TH AVE),($0.56)
11/06/2020,10/16/2020,07:45:53 PM,32311755750,2852174-IN,Miami-Dade Expressway Authority,63S,5,SR836 WEST (AT 97TH AVE),($1.32)
11/06/2020,10/16/2020,05:53:37 PM,32311755445,2852174-IN,Miami-Dade Expressway Authority,44S,5,SR836 EAST (AT 97TH AVE),($1.32)
11/06/2020,10/16/2020,05:49:32 PM,32311752678,2852174-IN,Miami-Dade Expressway Authority,22S,5,SR836 EAST (AT 137TH AVE),($0.56)
11/06/2020,10/16/2020,08:34:22 PM,32311755801,2852184-IN,Miami-Dade Expressway Authority,22S,5,SR836 EAST (AT 137TH AVE),($0.56)
11/06/2020,09/21/2020,08:14:13 AM,32311724868,2882991-IN,Florida Turnpike Enterprise,60S,3,SR23 NORMANDY MAIN SB MP42,($0.40)
11/06/2020,10/16/2020,04:49:42 PM,32311690098,2852183-IN,Miami-Dade Expressway Authority,41S,3,SR 874 NORTH (AT SR826),($0.94)
11/06/2020,10/16/2020,04:44:45 PM,32311690097,2852183-IN,Miami-Dade Expressway Authority,12S,2,SR 874 NORTH (AT TURNPIKE),($0.23)
11/06/2020,10/16/2020,05:00:57 PM,32311690105,2852189-IN,Miami-Dade Expressway Authority,82S,5,SR 924 WEST (57TH AVE),($0.94)
11/06/2020,10/16/2020,04:46:11 PM,32311690085,2852183-IN,Miami-Dade Expressway Authority,21S,3,SR 874 NORTH (KILLIAN),($0.46)
11/06/2020,09/20/2020,11:04:48 PM,32311647804,2841976-IN,Florida Turnpike Enterprise,50S,3,SR23 NEW WORLD MAIN NB MP43,($0.40)
11/06/2020,10/16/2020,01:37:11 PM,32311648036,2852174-IN,Miami-Dade Expressway Authority,23S,3,SR 924 EAST (57TH AVE),($0.94)
11/06/2020,10/16/2020,04:11:12 PM,32311648403,2852189-IN,Miami-Dade Expressway Authority,23S,3,SR 924 EAST (57TH AVE),($0.94)
11/06/2020,10/16/2020,03:45:15 PM,32311632891,2852189-IN,Miami-Dade Expressway Authority,42S,3,SR 874 NORTH (AT SR826),($0.94)
11/06/2020,10/16/2020,03:40:41 PM,32311632848,2852189-IN,Miami-Dade Expressway Authority,12S,3,SR 874 NORTH (AT TURNPIKE),($0.46)
